	geoName	lat	lon
147	Montserrat	16.74170494	-62.19168472
148	Morocco	31.17282104	-7.33624792
149	Mozambique	-19.30223274	34.91449738
150	Myanmar	21.17757607	96.51698303
151	Namibia	-23.23354912	17.32311058
152	Nauru	-0.525231	166.93244934
153	Nepal	28.26092148	83.93660736
154	Netherlands	52.24563217	5.62691879
155	New Caledonia	-21.30199051	165.48808289
156	New Zealand	-41.50008392	172.83441162
157	Nicaragua	12.84435272	-85.0319519
158	Dąbie, WP, Poland	52.1127243	18.74656868
159	Nigeria	9.60003567	7.99997187
160	DeKalb, IL, United States	41.93696213	-88.77380371
161	Norfolk Island	-29.03795624	167.95240784
162	North Korea	40.14125824	127.16867828
163	North Macedonia	41.60055542	21.7010479
164	Northern Mariana Islands	15.17536354	145.7379303
165	Norway	62.14135361	9.60162926
166	Oman	21.00002861	57.00368881
167	Pakistan	29.39997482	68.81533813
168	Palau	7.50056982	134.56523132
169	Ponce, Puerto Rico	18.00897408	-66.56341553
170	Panama	8.5197258	-80.08855438
171	Papua New Guinea	-5.68160677	144.24890137
172	Paraguay	-23.31659317	-58.16934586
173	Pér, Győr-Moson-Sopron, Hungary	47.61898804	17.80086136
174	Tinicum Township, PA, United States	39.87409973	-75.24157715
175	Pitcairn Islands	-25.0657711	-130.10177612
176	Poland	52.12467194	19.40042686
177	Portugal	39.68219757	-7.96828794
178	Puerto Rico	18.21738625	-66.36221313
179	Qatar	25.33369827	51.22953033
180	Romania	45.83976746	24.98456573
181	Russia	61.66702652	99.09856415
182	Rwanda	-1.96466303	30.06443596
183	Reunion	-21.13310814	55.53238678
184	Samoa	-13.62080574	-172.44734192
185	San Marino	43.93825912	12.46324444
186	Saudi Arabia	24.12628174	44.54819489
187	Senegal	14.47506046	-14.45296097
188	Srb, Zadar, Croatia	44.36393738	16.12425041
189	Seychelles	-4.65749788	55.45401382
190	Sierra Leone	8.64003468	-11.84002686
191	Singapore	1.35644197	103.80841827
192	Sint Maarten	18.04134941	-63.11050415
193	Slovakia	48.70747757	19.48480606
194	Slovenia	46.11947632	14.82200336
195	Solomon Islands	-9.62266254	160.16011047
196	Somalia	8.36767673	49.08341599
197	South Africa	-28.99632072	25.08714294
198	South Georgia And South Sandwich Islands	-54.37740326	-36.68516541
199	South Korea	36.43822861	127.83287048
200	South Sudan	7.86994314	29.66679001
201	Spain	40.3901062	-3.55436611
202	Sri Lanka	7.55549383	80.71378326
203	Wall, NJ, United States	40.18659973	-74.12561035
204	Saint Helena, Ascension and Tristan da Cunha	-15.9651041	-5.70684385
205	Saint Kitts and Nevis	17.33983231	-62.76567078
206	Saint Lucia	13.82504845	-60.97503662
207	Mendoza, MZA, Argentina	-32.8797493	-68.82794952
208	Saint Pierre and Miquelon	46.95404053	-56.32299423
209	Victoria VCT, Malta	36.04474258	14.24075127
210	Sudan	14.58444405	29.49176979
211	Suriname	4.14130306	-56.07711792
212		0.0	0.0
213	Sweden	62.83867264	16.74303818
214	Switzerland	46.80123901	8.23096561
215	DeWitt, NY, United States	43.11080551	-76.11306763
216	São Tomé and Príncipe	0.23940399	6.60202599
217	Taiwan	24.0	121.0
218	Tajikistan	38.62817383	70.81565094
219	Tanzania	-6.52471209	35.78784561
220	Thailand	15.13178921	101.01837921
221	Timor-Leste	-8.7982254	125.9489212
222	Togo	8.78002644	1.01997602
223	Juneau, AK, United States	58.48944092	-133.94332886
224	Tonga	-21.17604256	-175.19006348
225	Trinidad and Tobago	10.74669075	-61.08400726
226	Tunisia	33.84394073	9.4001379
227	Türkiye	38.98909378	35.43323517
228	Turkmenistan	39.37638092	59.39245987
229	Turks and Caicos Islands	21.72174644	-71.55278015
230	Tuvalu	-7.49404716	178.68199158
231	OR, United States	43.72233963	-121.95752716
232	Vir, Zadar, Croatia	44.2975235	15.08551025
233	Athens, GA, United States	33.95853043	-83.3743515
234	Ukraine	49.01005936	31.39693832
235	Åre, Jamtland County, Sweden	63.39858246	13.08592606
236	United Kingdom	53.93707657	-2.5180161
237	United States	39.50356674	-99.01830292
238	Ury, IdF, France	48.34304047	2.60151005
239	Uzbekistan	41.32373047	63.95280838
240	Vanuatu	-15.24147129	166.87277222
241	Vát, Vas, Hungary	47.28335953	16.77850723
242	Skåne County, Sweden	55.90766907	12.69825172
243	Vietnam	13.4233942	108.25662231
244	Wallis and Futuna	-13.28940201	-176.20422363
245	Esh, England, United Kingdom	54.79088593	-1.69485998
246	Yemen	16.3471241	47.89152527
247	Zambia	-14.51891232	27.55898857
248	Zimbabwe	-18.45549583	29.74684143
249	AL, United States	32.76642609	-86.84033203
